sha256,kept_file,deleted_file,deleted_size_bytes
3840bb419f4a82c99cb96cbd9cca2b14e20590df847ca0a48a22172c99930593,MEDIA/IMAGES/studio-a-lounge-guitar-mural-view-02.jpg,MEDIA/IMAGES/studio-a-lounge-guitar-mural-view-03.jpg,5160794
39512f06c2edce29df3198b89d2a20d978ad9d91ca9f8a49c8839fd39966948d,MEDIA/IMAGES/studio-a-live-room-guitar-mural.jpg,MEDIA/IMAGES/studio-a-live-room-guitar-mural-view-02.jpg,7218298
3bbffff88929fc2d9383d51276bf6ab1a29c9965cc2bf9f9364b40b47799ed99,MEDIA/IMAGES/studio-b-vocal-booth-checkmark-audio.jpg,MEDIA/IMAGES/studio-b-vocal-booth-checkmark-audio-view-02.jpg,5668864
3e2867b300f368d08f9cc2fb25b2b7a31e462cc47cc1e0f1d07272f941e48f69,MEDIA/IMAGES/studio-b-art-and-acoustic-ceiling.jpg,MEDIA/IMAGES/studio-b-art-and-acoustic-ceiling-view-02.jpg,6031290
4252a13047e418e55705529e72c1b9821fbbb464dbc663bd77f924f5d93e5f9c,MEDIA/IMAGES/studio-b-music-production-workstation.jpg,MEDIA/IMAGES/studio-b-music-production-workstation-view-02.jpg,1658816
43a0f55ec7282c9e1e39abc637d4bdfd74c71f05101dc60e976ab6e0dca799ef,MEDIA/IMAGES/studio-waiting-area-red-wall-view-04.jpg,MEDIA/IMAGES/studio-waiting-area-red-wall-view-05.jpg,8287102
45f3d4c3e3c7f7fd89d0206212a37fa7c4a2e5e0dfde160adc7585c4c491e9ad,MEDIA/IMAGES/studio-waiting-room-tv-and-acoustic-panels.jpg,MEDIA/IMAGES/studio-waiting-room-tv-and-acoustic-panels-view-02.jpg,6562733
474421da299b9e1604305cce49c8a666b7bbd55be53f3f765cd50dad82433c83,MEDIA/IMAGES/recording-studio-albuquerque-nm-checkmark-lounge-sign.jpg,MEDIA/IMAGES/checkmark-lounge-sign-view-02.jpg,7249555
49201562f5446cbeb3ae47825854dd5645e0d298f7867d217acc13d0b2647367,MEDIA/IMAGES/millie-black-and-white-album-cover.jpg,MEDIA/IMAGES/millie-black-and-white-album-cover-view-02.jpg,1343269
4cf526ac65527568d4f83a6b96867228f4c2251029f6e5378594307fae770b38,MEDIA/IMAGES/two-people-control-room.jpg,MEDIA/IMAGES/two-people-control-room-view-02.jpg,10523904
4d6ca22044ed609c96fe3c79d4769e7ce6fb199daa1fdb7ddb0de496dd025f79,MEDIA/IMAGES/acoustic-guitar-standing-studio-product-photo.jpg,MEDIA/IMAGES/guitar-image-header-view-02.jpg,1449839
4fe25c99939360d208282ab2e7983a2b3c15e3660acaa5e86c425f0f5c4b4de1,MEDIA/IMAGES/gardenview-album-cover-1.jpg,MEDIA/IMAGES/gardenview-album-cover-1-view-02.jpg,980992
50ec8f2463b17c2615f02631c5582e741d0830c4120e0f0b00939c3bcd91df22,MEDIA/IMAGES/recording-radio-film-connection-school-logo.png,MEDIA/IMAGES/rrfcs-logo-view-02.png,10447
55206bb8836101434db472f76ba615e3c816361dcc6e49e2098036c0c8ab2877,MEDIA/IMAGES/artist-cafe-gregorio-footer-picture-2.jpg,MEDIA/IMAGES/artist-cafe-gregorio-footer-picture-2-view-02.jpg,1859306
5a5fa227bfad308810e9e66fc0d1ad6b0e3529e58836ad9ed1b2a068bcfa2ec2,MEDIA/IMAGES/vohn-on-air-studio-portrait.jpg,MEDIA/IMAGES/vohn-on-air-studio-portrait-view-02.jpg,554746
5ac9cf10845290bf4f47c02420e36f5e9d5d0571944b218115843311739e3f25,MEDIA/IMAGES/library-of-congress-logo.webp,MEDIA/IMAGES/library-logo-view-02.webp,11320
5b149270b033a74c591710a39bb7c810d4d775e3862649bd73deed29d032a4d5,MEDIA/IMAGES/recording-studio-albuquerque-nm-checkmark-sign.jpg,MEDIA/IMAGES/checkmark-sign-view-02.jpg,384955
5cd15b0325c4c81902eb90aadba502a46c8fb6b8b43c2cfa370fea6e9bb8163f,MEDIA/IMAGES/artist-cafe-gregorio-footer-picture-2.jpeg,MEDIA/IMAGES/artist-cafe-gregorio-footer-picture-2-view-02.jpeg,8145769
5d1ce46bc3c72df361de8013157c90ea9e5be50762160864039c7c84c20268de,MEDIA/IMAGES/checkmark-music-studio-recording-vocals-sign.jpeg,MEDIA/IMAGES/checkmark-music-studio-recording-vocals-sign-view-02.jpeg,2097542
5d1ce46bc3c72df361de8013157c90ea9e5be50762160864039c7c84c20268de,MEDIA/IMAGES/checkmark-music-studio-recording-vocals-sign.jpeg,MEDIA/IMAGES/checkmark-music-studio-recording-vocals-sign-view-03.jpeg,2097542
5ec81bc93c994847a515540a082460d276c739ccfe3915329c9e7703cfe64e71,MEDIA/IMAGES/top-pro-awards-logo.jpg,MEDIA/IMAGES/top-pro-awards-logo-view-02.jpg,19920
645220daef557a5d34100c67b05a9d2cafce4fff2ea3e825afd7fd9d4e3346db,MEDIA/IMAGES/studio-team-casual-group-photo.jpg,MEDIA/IMAGES/studio-team-casual-group-photo-view-02.jpg,19191
6490985d1274af91d08b1fb28ae060322269682a618fe67f03a479268a7197fd,MEDIA/IMAGES/checkmark-audio-vocal-recording-booth-view-02.jpg,MEDIA/IMAGES/checkmark-audio-vocal-recording-booth-view-03.jpg,2745574
6490985d1274af91d08b1fb28ae060322269682a618fe67f03a479268a7197fd,MEDIA/IMAGES/checkmark-audio-vocal-recording-booth-view-02.jpg,MEDIA/IMAGES/checkmark-audio-vocal-recording-booth-view-05.jpg,2745574
654681f1cfcc857fc594267fa996b72af6c3e5aa944b72cc069129a766d9fa33,MEDIA/IMAGES/studio-audio-controls-close-up.jpg,MEDIA/IMAGES/studio-audio-controls-close-up-view-02.jpg,5275648
658b9059413df166ed3d165755a62f09e8de6a40f88d5d546af215f33d6b0212,MEDIA/IMAGES/albuquerque-nm-music-recording-studio-live-room.jpg,MEDIA/IMAGES/albuquerque-nm-music-recording-studio-live-room-view-02.jpg,6169428
68d231b95f6c81c60dd2ed2150deb5f6aa2f50cfb0a9b7151636b9d531bafd06,MEDIA/IMAGES/checkmark-audio-albuquerque-music-studio-control-room-1.jpg,MEDIA/IMAGES/checkmark-audio-albuquerque-music-studio-control-room-1-view-02.jpg,8121290
6c37a87fb55adaf6b8c8fe2af50db881879cbe59a064ce334763057834470ee9,MEDIA/IMAGES/studio-mural-guitars-wide.jpg,MEDIA/IMAGES/studio-mural-guitars-wide-view-02.jpg,6948403
6f5f48641f26f556a7ea143cb92e586be7626224304f7b81bafabf17c175255a,MEDIA/IMAGES/checkmark-audio-circular-logo-pattern-large.png,MEDIA/IMAGES/checkmark-audio-circular-logo-pattern-large-view-02.png,11733
733a1d98cb54017747d7f3d459db1a3dbf583944715267cf8b9334bab848ce8b,MEDIA/IMAGES/los-angeles-film-school-logo.png,MEDIA/IMAGES/los-angeles-film-school-logo-view-03.png,27894
799d07da942567f6f6e2c6f8de7589c4ba32dd80dc3f016cb2e42632bf13510f,MEDIA/IMAGES/checkmark-audio-circular-logo-pattern-blur.png,MEDIA/IMAGES/checkmark-audio-circular-logo-pattern-blur-view-02.png,11871
7b60a11dd46bdb999f2316fc7b160ed901853c6f7f2b1f1e08dc067e6fc0b96d,MEDIA/IMAGES/female-guitarist-purple-motion-portrait.jpg,MEDIA/IMAGES/purple-artist-motion-view-02.jpg,1110470
7db224a4b6e528e1ae98394d56a671051e97332db18c61c628db183a1180e0b7,MEDIA/IMAGES/recording-session-studio-lounge.jpg,MEDIA/IMAGES/recording-session-studio-lounge-view-02.jpg,16210301
8010ffe6cbaa065ee3bc40f6baf2748401f45bd092b3e873fed3575f930866d1,MEDIA/IMAGES/studio-b-instrument-recording-setup.jpg,MEDIA/IMAGES/studio-b-instrument-recording-setup-view-02.jpg,4384162
853260892b66ffda0c9b4180758343d5038227b98826e3e2838960177c756640,MEDIA/IMAGES/artists-cafe-richard-footer-picture-5.jpeg,MEDIA/IMAGES/artists-cafe-richard-footer-picture-5-view-02.jpeg,442180
8664de10b9ef43a63374cea581d59ac93cfde16d74e14b942057cbf2c4e7b124,MEDIA/IMAGES/mixing-console-black-white.jpg,MEDIA/IMAGES/mixing-console-black-white-view-02.jpg,8420934
9121739ac3cfa213a7625645c3490ab77d7395f0ccdae19ae042713b6b490ee3,MEDIA/IMAGES/checkmark-audio-headphones-microphone-logo-updated-white.png,MEDIA/IMAGES/checkmark-audio-headphones-microphone-logo-updated-white-view-02.png,847316
924fc349eb2190ea8590bc4476b5efada1c0f9d2bdc287641040ac25ac3a685e,MEDIA/IMAGES/vocal-booth-microphone-low-angle.jpg,MEDIA/IMAGES/vocal-booth-microphone-low-angle-view-02.jpg,3370106
95bff35c3ca387fa1e0fc80b25cda6db10c7ad92e240be07a07c51cad6a968e8,MEDIA/IMAGES/checkmark-audio-circular-logo-pattern-small.png,MEDIA/IMAGES/checkmark-audio-circular-logo-pattern-small-view-02.png,4509
